timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/01/20 17:58:45.862, 87 %, 88 %, 11304 MiB, 12288 MiB, 60, 130.38 W
2026/01/20 17:58:46.863, 80 %, 80 %, 11294 MiB, 12288 MiB, 60, 123.09 W
2026/01/20 17:58:47.870, 79 %, 79 %, 11294 MiB, 12288 MiB, 60, 129.28 W
2026/01/20 17:58:48.871, 82 %, 70 %, 11304 MiB, 12288 MiB, 59, 124.22 W
2026/01/20 17:58:49.872, 84 %, 75 %, 11304 MiB, 12288 MiB, 60, 126.22 W
2026/01/20 17:58:50.873, 86 %, 76 %, 11304 MiB, 12288 MiB, 60, 128.07 W
2026/01/20 17:58:51.882, 86 %, 75 %, 11304 MiB, 12288 MiB, 60, 128.69 W
2026/01/20 17:58:52.884, 86 %, 76 %, 11302 MiB, 12288 MiB, 60, 126.70 W
2026/01/20 17:58:53.885, 77 %, 67 %, 11295 MiB, 12288 MiB, 60, 127.13 W
2026/01/20 17:58:54.886, 83 %, 69 %, 11350 MiB, 12288 MiB, 60, 120.87 W
2026/01/20 17:58:55.892, 84 %, 72 %, 11347 MiB, 12288 MiB, 60, 125.90 W
2026/01/20 17:58:56.894, 80 %, 69 %, 11349 MiB, 12288 MiB, 60, 122.65 W
2026/01/20 17:58:57.895, 82 %, 71 %, 11347 MiB, 12288 MiB, 60, 125.27 W
2026/01/20 17:58:58.895, 85 %, 75 %, 11346 MiB, 12288 MiB, 60, 126.07 W
2026/01/20 17:58:59.903, 84 %, 73 %, 11334 MiB, 12288 MiB, 60, 127.19 W
2026/01/20 17:59:00.905, 82 %, 72 %, 11336 MiB, 12288 MiB, 60, 121.62 W
2026/01/20 17:59:01.929, 83 %, 72 %, 11310 MiB, 12288 MiB, 60, 120.68 W
2026/01/20 17:59:02.964, 85 %, 74 %, 11311 MiB, 12288 MiB, 60, 123.24 W
2026/01/20 17:59:03.989, 79 %, 70 %, 11312 MiB, 12288 MiB, 60, 122.77 W
2026/01/20 17:59:05.020, 83 %, 72 %, 11304 MiB, 12288 MiB, 60, 119.93 W
2026/01/20 17:59:06.045, 85 %, 73 %, 11320 MiB, 12288 MiB, 60, 127.81 W
2026/01/20 17:59:07.073, 85 %, 76 %, 11318 MiB, 12288 MiB, 60, 127.51 W
2026/01/20 17:59:08.742, 74 %, 63 %, 11319 MiB, 12288 MiB, 60, 124.72 W
2026/01/20 17:59:09.772, 86 %, 74 %, 11318 MiB, 12288 MiB, 60, 125.53 W
2026/01/20 17:59:10.798, 85 %, 74 %, 11313 MiB, 12288 MiB, 60, 125.97 W
2026/01/20 17:59:11.828, 89 %, 58 %, 11301 MiB, 12288 MiB, 60, 127.96 W
2026/01/20 17:59:12.853, 84 %, 72 %, 11312 MiB, 12288 MiB, 60, 124.17 W
2026/01/20 17:59:13.884, 76 %, 66 %, 11311 MiB, 12288 MiB, 60, 123.54 W
2026/01/20 17:59:14.909, 85 %, 75 %, 11307 MiB, 12288 MiB, 60, 127.15 W
2026/01/20 17:59:15.939, 86 %, 76 %, 11299 MiB, 12288 MiB, 60, 126.10 W
2026/01/20 17:59:16.964, 82 %, 72 %, 11299 MiB, 12288 MiB, 60, 126.30 W
2026/01/20 17:59:17.995, 86 %, 76 %, 11310 MiB, 12288 MiB, 60, 128.62 W
2026/01/20 17:59:19.021, 84 %, 75 %, 11310 MiB, 12288 MiB, 60, 124.24 W
2026/01/20 17:59:20.052, 84 %, 73 %, 11316 MiB, 12288 MiB, 60, 124.13 W
2026/01/20 17:59:21.076, 80 %, 69 %, 11312 MiB, 12288 MiB, 60, 125.02 W
